name,isTrailhead,northToSouth,southToNorth,size,water,distanceToParking,overnightParking
Tettegouche State Park Trailhead,TRUE,148.6,149.2,,,0.3,unknown
East Palisade Creek,,152.9,144.9,l,,,unknown
Bear Lake,,154.7,143.1,s,,,unknown
Penn Creek,,155.9,141.9,l,,,unknown
Penn Boulevard Trailhead,,157.9,139.9,,,0.1,unknown
East Beaver River,,161.2,136.6,s,,,unknown
West Beaver River,,161.5,136.3,s,,,unknown
Lax Lake Road Trailhead,TRUE,162.2,135.6,,,0,unknown
Fault Line Creek,,165.9,131.9,m,,,unknown
Beaver Pond,,167.3,130.5,m,,,unknown
Chapins Ridge,,169,128.8,m,"none, 0.2mi north",,unknown
Split Rock River Wayside Trailhead,TRUE,172.3,125.5,,,0.7,unknown
Southeast Split Rock River,,173.6,124.2,s,,,unknown
Northeast Split Rock River,,173.9,123.9,l,,,unknown
Northwest Split Rock River,,174.1,123.7,m,,,unknown
Southwest Split Rock River,,174.4,123.4,m,,,unknown
Split Rock River Wayside 2 Trailhead,TRUE,175.9,121.9,,,0.5,unknown
Blueberry Hill,,178.3,119.5,m,Unreliable,,unknown
Gooseberry Falls State Park Visitor Center Trailhead,TRUE,182,115.8,,,0.2,unknown
Gooseberry River,,184.5,113.3,l,,,unknown
Middle Gooseberry River,,185.3,112.5,s,,,unknown
East Gooseberry River,,185.4,112.4,s,,,unknown
West Gooseberry River,,186.3,111.5,m,,,unknown
Crow Valley,,189.5,108.3,m,Unreliable,,unknown
W. Castle Danger Road Trailhead,TRUE,190.7,107.1,,,0,unknown
Lake County Road 301 Trailhead,TRUE,196.7,101.1,,,,unknown
